Time[UTC] RA(deg) DEC(deg) PGW Pgal Round ObsName Duration FoV
"2023-09-15 01:30:10" 12.5417 -24.735 0.0009 0.0052 1 SA 5 0.05
"2023-09-15 01:35:10" 12.8744 -24.6425 0.0013 0.0045 1 SA 5 0.05
"2023-09-15 01:40:10" 13.1609 -25.6968 0.0013 0.0034 1 SA 5 0.05
"2023-09-15 01:45:10" 13.3908 -26.092 0.0003 0.0023 1 SA 5 0.05
"2023-09-15 01:50:10" 13.5882 -26.0234 0.0005 0.0019 1 SA 5 0.05
"2023-09-15 01:55:10" 12.8799 -24.9664 0.001 0.0016 1 SA 5 0.05
"2023-09-15 02:00:10" 12.5911 -25.0564 0.001 0.0012 1 SA 5 0.05
"2023-09-15 02:05:10" 12.6067 -24.5754 0.0018 0.0011 1 SA 5 0.05
"2023-09-15 02:10:10" 14.0278 -25.0356 0.0001 0.0008 1 SA 5 0.05
"2023-09-15 02:15:10" 12.6661 -26.8134 0.0003 0.0008 1 SA 5 0.05
